STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,RWA,Rwanda,A,Annual,OTHER,Other areas,PT_LAR,Percentage of land area,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,STP,Sao Tome and Principe,A,Annual,OTHER,Other areas,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,STP,Sao Tome and Principe,A,Annual,OTHER,Other areas,PT_LAR,Percentage of land area,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GNB,Guinea-Bissau,A,Annual,OTHER,Other areas,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GNB,Guinea-Bissau,A,Annual,OTHER,Other areas,PT_LAR,Percentage of land area,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,DMA,Dominica,A,Annual,OTHER,Other areas,PT_LAR,Percentage of land area,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,DMA,Dominica,A,Annual,OTHER,Other areas,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AND,Andorra,A,Annual,ORGANIC,Agriculture area under organic agriculture,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,IRQ,Iraq,A,Annual,ORGANIC,Agriculture area under organic agriculture,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AUT,Austria,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,1048.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CAN,Canada,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,206530,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CZE,Czechia,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,494.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,DNK,Denmark,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,750,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,DEU,Germany,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,1344,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,LUX,Luxembourg,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,11.785,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NLD,Netherlands,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,222.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PRT,Portugal,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,157,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SVK,Slovak Republic,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,1195.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ESP,Spain,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,38950.07,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,USA,United States,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,425154.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ECU,Ecuador,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,920,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ZMB,Zambia,A,Annual,CROP_TILL,Cropland area under zero or no tillage,KM2,Square kilometres,2021,,169.376,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AUS,Australia,A,Annual,ORGANIC,Agriculture area under organic agriculture,KM2,Square kilometres,2021,,356878,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AUT,Austria,A,Annual,ORGANIC,Agriculture area under organic agriculture,KM2,Square kilometres,2021,,6808,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BEL,Belgium,A,Annual,ORGANIC,Agriculture area under organic agriculture,KM2,Square kilometres,2021,,1024.13,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CAN,Canada,A,Annual,ORGANIC,Agriculture area under organic agriculture,KM2,Square kilometres,2021,,12155.9,,A,Normal value,0,Units,1,One
